Species	Family	Order	Class	Body.mass	Flying	Diet	Method.category.mass	Method.category.flying	Method.category.diet	Surrogate.used.mass	Surrogate.name.mass	Surrogate.name.diet	Diet.by.whom	Source.bodymass	Source.flying	Source.diet
Psittacula bensoni	Psittacidae	Psittaciformes	Aves	214	1	2	Surrogate	Morphology	Genus mean	1	Psittacula eupatria		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Psittacula echo	Psittacidae	Psittaciformes	Aves	163	1	1	Surrogate	Morphology	Estimate	1	Psittacula Eques		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Psittacula eques	Psittacidae	Psittaciformes	Aves	163	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Psittacula eupatria	Psittacidae	Psittaciformes	Aves	214	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Psittacula exsul	Psittacidae	Psittaciformes	Aves	116.5	1	3	Surrogate	Morphology	Database	1	Psittacula krameri		Kissling	"Cheke, Anthony, and Julian P. Hume. Lost land of the dodo: the ecological history of Mauritius, Réunion and Rodrigues. Bloomsbury Publishing, 2010.; Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton."	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Psittirostra psittacea	Fringillidae	Passeriformes	Aves	29.549	1	1	Estimate + surrogate	Morphology	Database	1	Pseudonestor xanthophrys		Kissling	"James, Helen F., Richard L. Zusi, and Storrs L. Olson. ""Dysmorodrepanis munroi (Fringillidae: Drepanidini), a valid genus and species of Hawaiian finch."" Wilson Bull 101.2 (1989): 159-179.; Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton."	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Pteralopex anceps	Pteropodidae	Chiroptera	Mammalia	560.359	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteralopex flanneryi	Pteropodidae	Chiroptera	Mammalia	437.453	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Pteralopex"""		Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus admiralitatum	Pteropodidae	Chiroptera	Mammalia	299.9	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus aldabrensis	Pteropodidae	Chiroptera	Mammalia	305	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus anetianus	Pteropodidae	Chiroptera	Mammalia	426	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus capistratus	Pteropodidae	Chiroptera	Mammalia	424.334619	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Pteropus"""		Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus cognatus	Pteropodidae	Chiroptera	Mammalia	424.334619	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Pteropus"""		Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus hypomelanus	Pteropodidae	Chiroptera	Mammalia	428.135	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus livingstonii	Pteropodidae	Chiroptera	Mammalia	734.27	1	3	Database	Morphology	Database	0			Kissling	"Jones, Kate E., et al. ""PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals: Ecological Archives E090-184."" Ecology 90.9 (2009): 2648-2648."	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus mahaganus	Pteropodidae	Chiroptera	Mammalia	251.401	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus neohibernicus	Pteropodidae	Chiroptera	Mammalia	966.786	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus niger	Pteropodidae	Chiroptera	Mammalia	456.3	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus ornatus	Pteropodidae	Chiroptera	Mammalia	330	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus pselaphon	Pteropodidae	Chiroptera	Mammalia	424.334619	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Pteropus"""		Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus rayneri	Pteropodidae	Chiroptera	Mammalia	724.5	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus rennelli	Pteropodidae	Chiroptera	Mammalia	424.334619	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Pteropus"""		Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus rodricensis	Pteropodidae	Chiroptera	Mammalia	253.8	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus samoensis	Pteropodidae	Chiroptera	Mammalia	310	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus seychellensis	Pteropodidae	Chiroptera	Mammalia	457	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus subniger	Pteropodidae	Chiroptera	Mammalia	424.334619	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Pteropus"""		Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus tonganus	Pteropodidae	Chiroptera	Mammalia	418.333	1	1	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus vetulus	Pteropodidae	Chiroptera	Mammalia	148	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Pteropus woodfordi	Pteropodidae	Chiroptera	Mammalia	119.328	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Ptilinopus greyii	Columbidae	Columbiformes	Aves	83.5	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus insolitus	Columbidae	Columbiformes	Aves	138.5	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus layardi	Columbidae	Columbiformes	Aves	141.9315789	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Ptilinopus"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus perousii	Columbidae	Columbiformes	Aves	93.5	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus porphyraceus	Columbidae	Columbiformes	Aves	105	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus rarotongensis	Columbidae	Columbiformes	Aves	95.75	1	3	Surrogate	Morphology	Database	1	Ptilinopus coralensis, Ptilinopus insularis, Ptilinopus perousii, Ptilinopus porphyraceus, Ptilinopus purpuratus, Ptilinopus richardsii		Kissling	Baptista, L.F., Trail, P.W., Horblit, H.M. & de Juana, E. (2016). Rarotonga Fruit-dove (Ptilinopus rarotongensis). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/54331 on 10 February 2016).	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus richardsii	Columbidae	Columbiformes	Aves	104.05	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus rivoli	Columbidae	Columbiformes	Aves	149	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus solomonensis	Columbidae	Columbiformes	Aves	109.7	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus superbus	Columbidae	Columbiformes	Aves	118	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus tannensis	Columbidae	Columbiformes	Aves	208	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus victor	Columbidae	Columbiformes	Aves	95	1	3	Surrogate	Morphology	Database	1	Ptilinopus purpuratus		Kissling	"Baptista, L.F., Trail, P.W., Horblit, H.M. & Kirwan, G.M. (2016). Grey-green Fruit-dove (Ptilinopus purpuratus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/54335 on 10 February 2016).; (http://www.oiseaux.net/birds/orange.fruit.dove.html on 10 February 2016)"	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ptilinopus viridis	Columbidae	Columbiformes	Aves	121	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Pyrrhocorax pyrrhocorax	Corvidae	Passeriformes	Aves	277.75	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Pyrrhula murina	Fringillidae	Passeriformes	Aves	30	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Raphus cucullatus	Columbidae	Columbiformes	Aves	16000	0	3	Estimate	Literature	Database	0			Kissling	"Livezey, B.C. (2009). An ecomorphological review of the dodo (Raphus cucullatus) and solitaire (Pezophaps solitaria), flightless Columbiformes of the Mascarene Islands. Journal of Zoology, 2, 247-292.; Louchart, A., & Mourer-Chauviré, C.
(2011). The dodo was not so slim: leg dimensions
and scaling to body mass. Naturwissenschaften.
98, 367-358.; Angst, D., Buffetaut, E., Abourachid, A.
(2011). The end of the fat dodo? A new
mass estimate for Raphus cucullatus. Naturwissenschaften,
3, 233-236. "	Shapiro, B., Sibthorpe, D., Rambaut, A., Austin, J., Wragg, G. M., Bininda-Emonds, O. R., ... & Cooper, A. (2002). Flight of the dodo. Science, 295(5560), 1683-1683.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Reinwardtoena browni	Columbidae	Columbiformes	Aves	304	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Reinwardtoena crassirostris	Columbidae	Columbiformes	Aves	259	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Rhacodactylus leachianus	Gekkonidae	Squamata	Reptilia	487.66	0	2	Surrogate + calculation	Morphology	Literature	1	Hoplodactylus delcourti		Hansen	"Bauer, Aaron M., and Anthony P. Russell. ""Hoplodactylus delcourti n. sp.(Reptilia: Gekkonidae), the largest known gecko."" New Zealand journal of zoology 13.1 (1986):141-148.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. (2010). Length–weight allometries in lizards. Journal of Zoology, 281(3), 218-226."	Various images	14, 15
Rousettus amplexicaudatus	Pteropodidae	Chiroptera	Mammalia	82.4655	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Rousettus obliviosus	Pteropodidae	Chiroptera	Mammalia	44.1	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Serinus canaria	Fringillidae	Passeriformes	Aves	24.3	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
